Application Date,Decision Date,Visa Type,Applicant Nationality,Processing Center,Season,Application Complexity,Document Completeness,Expedited Request,Processing Time (Days),Visa Status
2024-04-13,2024-07-23,Work,India,Beijing,Off-Peak,1.0,0.0,0.0,101,Approved
2024-03-08,2024-05-15,Work,UK,Sydney,Peak,,1.0,0.0,68,Approved
2024-06-06,2024-08-12,Work,Australia,Berlin,Peak,1.0,1.0,1.0,67,Approved
2024-09-23,2024-11-07,Business,Australia,London,Peak,1.0,,,45,Approved
2024-02-01,2024-05-09,Work,China,London,Off-Peak,1.0,0.0,0.0,98,Denied
2024-02-27,2024-04-03,Business,Australia,London,Peak,0.0,0.0,1.0,36,Denied
2024-06-11,2024-07-21,Student,UK,Berlin,Peak,0.0,,0.0,40,Denied
2024-02-29,2024-04-25,Work,China,Beijing,Off-Peak,0.0,,1.0,56,Approved
2024-09-23,2024-11-28,Work,Brazil,Delhi,Peak,0.0,1.0,,66,Approved
2024-06-07,2024-07-14,Tourist,France,Delhi,Peak,0.0,0.0,1.0,37,Approved
2024-11-06,2024-12-07,Student,UK,Paris,Off-Peak,0.0,1.0,0.0,31,Approved
2024-05-24,2024-06-08,Tourist,USA,Delhi,Peak,0.0,1.0,1.0,15,Approved
2024-01-12,2024-03-17,Work,USA,Mumbai,Off-Peak,0.0,1.0,0.0,65,Approved
2024-01-29,2024-03-08,Tourist,India,Paris,Off-Peak,0.0,0.0,0.0,39,Approved
2024-04-16,2024-05-30,Tourist,France,London,Peak,0.0,,0.0,44,Approved
2024-01-03,2024-03-01,Student,India,Delhi,Peak,1.0,1.0,1.0,58,Approved
2024-07-02,2024-08-21,Business,India,Delhi,Peak,0.0,,1.0,50,Approved
2024-08-15,2024-09-02,Tourist,China,Mumbai,Peak,0.0,1.0,,18,Approved
2024-01-28,2024-04-15,Student,France,Paris,Peak,1.0,0.0,0.0,78,Denied
2024-02-14,2024-03-12,Business,Australia,Berlin,Peak,,1.0,0.0,27,Approved
2024-07-31,2024-09-16,Business,Germany,Mumbai,Off-Peak,0.0,0.0,0.0,47,Approved
2024-06-08,2024-07-23,Business,China,London,Off-Peak,0.0,0.0,0.0,45,Approved
2024-10-26,2024-12-24,Business,Brazil,Delhi,Peak,1.0,1.0,0.0,59,Approved
2024-04-12,2024-06-13,Business,UK,Mumbai,Off-Peak,1.0,0.0,,62,Denied
2024-02-06,2024-04-12,Business,Australia,Sydney,Peak,1.0,0.0,,66,Denied
2024-07-13,2024-09-10,Work,USA,Berlin,Off-Peak,0.0,,0.0,59,Denied
2024-09-06,2024-10-05,Business,India,Beijing,Peak,0.0,1.0,1.0,29,Approved
2024-11-23,2025-01-23,Student,India,Mumbai,Peak,0.0,0.0,1.0,61,Approved
2024-06-01,2024-06-26,Tourist,USA,Delhi,Peak,0.0,1.0,0.0,25,Approved
2024-08-03,2024-09-04,Business,India,Beijing,Peak,0.0,1.0,1.0,32,Approved
2024-11-14,2025-01-27,Business,India,Beijing,Peak,1.0,0.0,0.0,74,Approved
2024-08-31,2024-09-09,Business,Germany,London,Off-Peak,0.0,1.0,1.0,9,Approved
2024-02-01,2024-04-27,Work,USA,Sydney,Peak,1.0,0.0,1.0,86,Approved
2024-07-26,2024-08-25,Business,Australia,Paris,Peak,1.0,,,30,Approved
2024-09-20,2024-10-17,Tourist,Germany,Sydney,Peak,0.0,,1.0,27,Approved
2024-12-10,2025-03-03,Work,Australia,Delhi,Off-Peak,0.0,0.0,,83,Approved
2024-10-23,2025-01-09,Work,Germany,Berlin,Off-Peak,0.0,0.0,0.0,78,Approved
2024-02-06,2024-02-25,Business,Germany,Sydney,Off-Peak,1.0,1.0,1.0,19,Approved
2024-08-16,2024-10-01,Tourist,China,Paris,Peak,1.0,0.0,1.0,46,Approved
2024-09-05,2024-11-08,Work,India,London,Off-Peak,,1.0,,64,Approved
2024-01-19,2024-01-30,Tourist,Germany,Paris,Off-Peak,0.0,,,11,Approved
2024-09-27,2024-11-06,Business,India,Sydney,Off-Peak,,1.0,0.0,40,Approved
2024-11-26,2025-01-01,Tourist,Australia,Paris,Peak,1.0,1.0,0.0,36,Denied
2024-06-18,2024-07-20,Business,Germany,Sydney,Peak,1.0,1.0,1.0,32,Approved
2024-12-14,2025-01-08,Business,France,Mumbai,Off-Peak,0.0,1.0,0.0,25,Denied
2024-02-23,2024-04-13,Business,UK,Berlin,Peak,0.0,0.0,0.0,50,Approved
2024-10-24,2024-12-28,Work,India,London,Off-Peak,1.0,,1.0,65,Denied
2024-09-11,2024-11-07,Tourist,China,Delhi,Peak,1.0,0.0,1.0,57,Denied
2024-10-23,2025-01-09,Work,Australia,Beijing,Peak,0.0,0.0,1.0,78,Approved
2024-12-03,2025-01-09,Student,China,London,Off-Peak,0.0,1.0,,37,Approved
2024-09-29,2024-12-19,Work,India,Beijing,Off-Peak,1.0,,0.0,81,Denied
2024-08-07,2024-08-31,Business,France,Mumbai,Peak,0.0,1.0,1.0,24,Approved
2024-05-02,2024-06-03,Tourist,France,Mumbai,Off-Peak,1.0,1.0,0.0,32,Approved
2024-07-01,2024-08-17,Business,USA,London,Peak,0.0,0.0,0.0,47,Approved
2024-08-16,2024-10-28,Work,India,Berlin,Peak,1.0,1.0,1.0,73,Approved
2024-04-01,2024-06-20,Work,Brazil,Berlin,Off-Peak,0.0,0.0,,80,Approved
2024-06-28,2024-08-22,Student,Australia,Paris,Peak,1.0,1.0,0.0,55,Approved
2024-09-29,2024-11-22,Tourist,USA,Sydney,Peak,,0.0,0.0,54,Approved
2024-03-08,2024-04-20,Business,France,Paris,Off-Peak,1.0,0.0,1.0,43,Approved
2024-02-10,2024-05-16,Work,Australia,Mumbai,Peak,1.0,0.0,1.0,96,Denied
2024-02-25,2024-03-25,Tourist,USA,Sydney,Peak,0.0,0.0,1.0,29,Approved
2024-11-05,2024-12-27,Student,USA,Sydney,Peak,0.0,0.0,1.0,52,Approved
2024-04-13,2024-05-20,Tourist,Australia,Delhi,Peak,,0.0,1.0,37,Denied
2024-05-06,2024-07-08,Student,France,Paris,Peak,1.0,0.0,1.0,63,Approved
2024-01-28,2024-01-31,Tourist,Australia,London,Off-Peak,0.0,1.0,1.0,3,Denied
2024-11-23,2024-12-12,Business,USA,Berlin,Off-Peak,0.0,,0.0,19,Approved
2024-03-16,2024-05-06,Business,UK,London,Peak,1.0,0.0,1.0,51,Approved
2024-01-13,2024-02-02,Business,France,Paris,Off-Peak,1.0,1.0,1.0,20,Approved
2024-04-10,2024-05-31,Student,Australia,Berlin,Off-Peak,1.0,0.0,,51,Denied
2024-03-14,2024-04-14,Business,India,Delhi,Peak,0.0,1.0,1.0,31,Approved
2024-09-28,2024-12-05,Work,USA,London,Peak,1.0,1.0,1.0,68,Approved
2024-10-28,2024-12-31,Student,Brazil,Beijing,Peak,0.0,,1.0,64,Approved
2024-11-10,2025-01-11,Tourist,Australia,Delhi,Peak,1.0,0.0,0.0,62,Approved
2024-07-08,2024-09-30,Work,USA,Mumbai,Off-Peak,,0.0,,84,Denied
2024-03-14,2024-05-04,Student,Germany,Paris,Off-Peak,0.0,,0.0,51,Denied
2024-06-02,2024-07-06,Business,Brazil,Beijing,Off-Peak,1.0,1.0,1.0,34,Approved
2024-12-28,2025-03-05,Student,Australia,Paris,Off-Peak,1.0,0.0,,67,Denied
2024-04-13,2024-07-03,Work,France,Beijing,Off-Peak,1.0,1.0,0.0,81,Approved
2024-12-06,2025-01-19,Work,USA,London,Off-Peak,0.0,,1.0,44,Approved
2024-07-12,2024-09-06,Student,China,Sydney,Peak,0.0,,1.0,56,Approved
2024-02-26,2024-05-20,Work,India,Mumbai,Off-Peak,1.0,1.0,0.0,84,Denied
2024-02-28,2024-05-21,Work,Australia,Paris,Peak,,0.0,,83,Denied
2024-08-05,2024-08-28,Business,UK,Delhi,Peak,0.0,1.0,,23,Approved
2024-08-30,2024-11-27,Work,USA,Delhi,Peak,,1.0,0.0,89,Denied
2024-01-24,2024-02-14,Tourist,USA,Berlin,Peak,0.0,1.0,0.0,21,Approved
2024-10-16,2024-12-07,Student,UK,Paris,Off-Peak,1.0,,1.0,52,Approved
2024-10-21,2024-10-24,Tourist,Germany,Sydney,Off-Peak,0.0,1.0,1.0,3,Approved
2024-03-12,2024-04-28,Business,UK,Paris,Peak,1.0,1.0,0.0,47,Approved
2024-03-11,2024-05-01,Work,USA,Beijing,Off-Peak,0.0,1.0,1.0,51,Denied
2024-12-15,2025-01-30,Business,France,Beijing,Off-Peak,1.0,0.0,1.0,46,Approved
2024-09-09,2024-10-13,Tourist,France,Mumbai,Off-Peak,1.0,1.0,,34,Approved
2024-10-04,2024-11-21,Tourist,USA,Delhi,Peak,1.0,0.0,1.0,48,Denied
2024-05-06,2024-07-12,Work,Germany,Paris,Off-Peak,0.0,0.0,1.0,67,Denied
2024-04-20,2024-06-15,Student,UK,Beijing,Off-Peak,0.0,0.0,0.0,56,Approved
2024-09-02,2024-12-09,Work,Germany,Delhi,Off-Peak,1.0,0.0,0.0,98,Approved
2024-05-29,2024-08-07,Student,China,London,Off-Peak,1.0,0.0,0.0,70,Denied
2024-09-28,2024-12-01,Work,Australia,Sydney,Off-Peak,0.0,,1.0,64,Approved
2024-10-02,2024-10-19,Business,France,London,Off-Peak,0.0,1.0,0.0,17,Approved
2024-10-26,2024-12-05,Tourist,Australia,London,Peak,0.0,,0.0,40,Approved
2024-05-26,2024-08-24,Student,China,Delhi,Peak,1.0,0.0,0.0,90,Denied
2024-12-20,2025-01-13,Tourist,India,Mumbai,Peak,0.0,1.0,1.0,24,Approved
2024-08-14,2024-09-19,Student,Brazil,Berlin,Peak,,1.0,1.0,36,Approved
2024-09-22,2024-12-07,Work,Australia,Sydney,Off-Peak,1.0,0.0,1.0,76,Approved
2024-05-13,2024-07-11,Student,China,Beijing,Peak,0.0,0.0,1.0,59,Approved
2024-09-16,2024-12-24,Work,Germany,Delhi,Peak,1.0,0.0,1.0,99,Approved
2024-03-04,2024-04-16,Business,France,Mumbai,Peak,0.0,0.0,1.0,43,Approved
2024-02-13,2024-03-22,Tourist,France,Sydney,Peak,1.0,1.0,0.0,38,Approved
2024-08-16,2024-10-15,Work,USA,Sydney,Off-Peak,1.0,1.0,1.0,60,Approved
2024-06-08,2024-07-08,Business,Brazil,Paris,Off-Peak,0.0,,,30,Approved
2024-02-20,2024-03-19,Business,Brazil,Beijing,Peak,0.0,1.0,1.0,28,Approved
2024-03-23,2024-05-26,Student,USA,Beijing,Off-Peak,1.0,0.0,1.0,64,Approved
2024-11-20,2025-02-10,Student,UK,Beijing,Peak,1.0,,0.0,82,Approved
2024-03-21,2024-05-17,Student,Australia,Mumbai,Peak,0.0,0.0,1.0,57,Approved
2024-03-28,2024-06-01,Student,Germany,Delhi,Peak,,0.0,0.0,65,Approved
2024-12-20,2025-02-19,Student,USA,Delhi,Off-Peak,,0.0,0.0,61,Approved
2024-10-31,2024-11-26,Tourist,Brazil,Delhi,Off-Peak,1.0,1.0,1.0,26,Denied
2024-02-08,2024-04-27,Business,Brazil,Beijing,Peak,1.0,0.0,0.0,79,Approved
2024-09-09,2024-12-10,Work,France,Beijing,Peak,0.0,0.0,,92,Denied
2024-12-04,2025-01-24,Business,China,Sydney,Peak,0.0,0.0,0.0,51,Approved
2024-04-21,2024-07-24,Work,France,London,Off-Peak,1.0,0.0,0.0,94,Denied
2024-08-19,2024-11-06,Student,Brazil,Mumbai,Off-Peak,1.0,0.0,0.0,79,Approved
2024-04-01,2024-05-29,Business,Brazil,Paris,Peak,,0.0,1.0,58,Approved
2024-12-06,2025-02-12,Business,China,London,Peak,1.0,0.0,,68,Approved
2024-11-22,2025-01-15,Tourist,Brazil,Delhi,Peak,1.0,0.0,1.0,54,Denied
2024-07-14,2024-07-31,Tourist,India,Sydney,Off-Peak,0.0,,0.0,17,Denied
2024-02-27,2024-04-25,Business,China,Sydney,Peak,1.0,0.0,1.0,58,Approved
2024-10-26,2025-01-09,Work,UK,Beijing,Off-Peak,1.0,1.0,0.0,75,Approved
2024-06-21,2024-07-24,Tourist,India,Sydney,Off-Peak,0.0,0.0,0.0,33,Approved
2024-10-31,2025-01-23,Work,Brazil,Paris,Off-Peak,0.0,0.0,0.0,84,Denied
2024-04-05,2024-06-05,Work,UK,London,Off-Peak,0.0,0.0,1.0,61,Denied
2024-12-15,2025-02-21,Work,Australia,Delhi,Off-Peak,0.0,0.0,1.0,68,Approved
2024-10-27,2024-11-18,Business,Brazil,Sydney,Off-Peak,0.0,1.0,0.0,22,Approved
2024-08-24,2024-10-13,Student,India,London,Peak,1.0,1.0,1.0,50,Approved
2024-10-14,2024-11-27,Student,USA,Sydney,Peak,0.0,1.0,0.0,44,Approved
2024-04-17,2024-05-15,Tourist,China,Beijing,Off-Peak,0.0,0.0,1.0,28,Approved
2024-01-04,2024-03-03,Tourist,India,Beijing,Off-Peak,1.0,0.0,0.0,59,Approved
2024-09-26,2024-11-19,Tourist,Germany,London,Peak,1.0,0.0,0.0,54,Denied
2024-01-05,2024-02-29,Student,France,Beijing,Peak,0.0,0.0,1.0,55,Denied
2024-07-24,2024-09-08,Business,India,Berlin,Off-Peak,0.0,,0.0,46,Approved
2024-07-31,2024-10-21,Student,Brazil,Sydney,Peak,1.0,0.0,0.0,82,Denied
2024-03-01,2024-04-27,Business,Brazil,Beijing,Off-Peak,1.0,0.0,1.0,57,Denied
2024-12-10,2025-01-31,Student,Australia,Beijing,Peak,1.0,,1.0,52,Approved
2024-11-26,2025-01-09,Tourist,Brazil,Delhi,Off-Peak,0.0,0.0,0.0,44,Denied
2024-07-31,2024-10-02,Tourist,Australia,Beijing,Peak,1.0,0.0,0.0,63,Approved
2024-08-19,2024-08-27,Tourist,Australia,Mumbai,Off-Peak,0.0,1.0,1.0,8,Approved
2024-05-13,2024-06-23,Student,India,Berlin,Off-Peak,0.0,0.0,1.0,41,Approved
2024-10-10,2024-11-03,Business,China,Berlin,Off-Peak,1.0,1.0,,24,Approved
2024-06-11,2024-07-29,Student,USA,Sydney,Off-Peak,0.0,0.0,,48,Denied
2024-05-21,2024-06-30,Business,France,Sydney,Off-Peak,1.0,0.0,1.0,40,Denied
2024-05-22,2024-07-21,Work,UK,London,Off-Peak,1.0,1.0,,60,Approved
2024-06-21,2024-08-22,Tourist,UK,Delhi,Peak,1.0,0.0,0.0,62,Approved
2024-07-06,2024-08-26,Business,India,Delhi,Off-Peak,1.0,0.0,1.0,51,Approved
2024-03-04,2024-03-15,Tourist,UK,London,Off-Peak,0.0,1.0,0.0,11,Approved
2024-10-25,2025-01-12,Business,India,Beijing,Peak,1.0,0.0,0.0,79,Approved
2024-02-11,2024-03-06,Tourist,Australia,London,Peak,0.0,,0.0,24,Approved
2024-11-02,2025-01-13,Work,UK,Beijing,Off-Peak,0.0,0.0,1.0,72,Approved
2024-12-28,2025-03-25,Work,Australia,Delhi,Peak,1.0,1.0,0.0,87,Approved
2024-09-17,2024-12-19,Work,Germany,Sydney,Off-Peak,1.0,0.0,0.0,93,Denied
2024-11-01,2024-12-13,Student,UK,Sydney,Peak,1.0,1.0,1.0,42,Denied
2024-05-06,2024-07-07,Tourist,France,Beijing,Peak,1.0,0.0,0.0,62,Approved
2024-03-22,2024-05-21,Work,Australia,London,Off-Peak,1.0,1.0,1.0,60,Approved
2024-11-23,2025-01-03,Student,Australia,Delhi,Off-Peak,1.0,1.0,1.0,41,Approved
2024-03-30,2024-06-29,Student,Brazil,Delhi,Peak,1.0,0.0,,91,Approved
2024-09-21,2024-12-22,Work,Brazil,Mumbai,Peak,1.0,1.0,0.0,92,Denied
2024-02-07,2024-03-23,Work,Australia,Paris,Off-Peak,0.0,1.0,1.0,45,Approved
2024-08-20,2024-10-12,Student,Brazil,Berlin,Off-Peak,1.0,1.0,0.0,53,Approved
2024-03-27,2024-05-13,Student,India,London,Peak,1.0,1.0,1.0,47,Approved
2024-11-14,2025-01-03,Business,Australia,Berlin,Peak,0.0,0.0,0.0,50,Approved
2024-08-31,2024-09-17,Business,France,Beijing,Off-Peak,,1.0,1.0,17,Denied
2024-12-24,2025-01-22,Student,Australia,Paris,Peak,0.0,,1.0,29,Denied
2024-11-26,2024-12-18,Business,Brazil,Paris,Peak,0.0,1.0,1.0,22,Approved
2024-04-27,2024-05-09,Tourist,France,Sydney,Peak,0.0,1.0,1.0,12,Approved
2024-05-26,2024-07-23,Student,Australia,Delhi,Off-Peak,1.0,,,58,Denied
2024-02-18,2024-04-16,Student,USA,Paris,Peak,0.0,0.0,,58,Approved
2024-11-30,2025-03-06,Work,France,Mumbai,Off-Peak,1.0,0.0,0.0,96,Approved
2024-10-03,2025-01-23,Work,Brazil,Beijing,Peak,1.0,,0.0,112,Approved
2024-08-21,2024-10-21,Student,France,London,Peak,1.0,0.0,1.0,61,Approved
2024-12-16,2025-01-19,Business,China,Beijing,Off-Peak,0.0,1.0,0.0,34,Approved
2024-11-03,2025-01-22,Work,India,Delhi,Peak,0.0,1.0,0.0,80,Approved
2024-03-31,2024-05-18,Work,USA,Beijing,Off-Peak,0.0,1.0,,48,Denied
2024-07-25,2024-09-12,Tourist,France,Delhi,Peak,1.0,0.0,1.0,49,Approved
2024-10-10,2024-11-03,Tourist,Brazil,London,Peak,0.0,1.0,0.0,24,Approved
2024-10-30,2024-11-30,Business,China,Mumbai,Off-Peak,1.0,,1.0,31,Approved
2024-01-23,2024-03-18,Student,France,Paris,Off-Peak,,0.0,1.0,55,Denied
2024-10-10,2024-12-24,Work,China,Sydney,Peak,1.0,,1.0,75,Approved
2024-10-21,2024-11-12,Tourist,USA,Mumbai,Off-Peak,1.0,,,22,Denied
2024-10-23,2024-11-20,Business,Australia,Delhi,Off-Peak,,1.0,1.0,28,Approved
2024-06-14,2024-08-15,Business,Brazil,Mumbai,Peak,0.0,0.0,0.0,62,Denied
2024-09-26,2024-11-18,Tourist,Brazil,Sydney,Off-Peak,1.0,0.0,0.0,53,Denied
2024-06-03,2024-06-29,Tourist,France,Berlin,Peak,0.0,,1.0,26,Approved
2024-03-19,2024-04-25,Student,Germany,London,Off-Peak,1.0,1.0,,37,Denied
2024-03-07,2024-04-28,Work,France,Paris,Peak,,1.0,1.0,52,Approved
2024-04-11,2024-07-04,Work,Brazil,Delhi,Peak,0.0,0.0,1.0,84,Approved
2024-02-24,2024-05-17,Work,Australia,Delhi,Off-Peak,0.0,0.0,0.0,83,Approved
2024-08-22,2024-10-05,Student,Brazil,Delhi,Off-Peak,0.0,1.0,0.0,44,Approved
2024-08-31,2024-10-16,Tourist,Brazil,Beijing,Peak,,1.0,0.0,46,Approved
2024-03-23,2024-05-24,Business,Australia,Mumbai,Off-Peak,1.0,0.0,0.0,62,Approved
2024-09-09,2024-11-05,Student,Australia,London,Off-Peak,1.0,0.0,1.0,57,Approved
2024-09-11,2024-10-04,Business,Brazil,Berlin,Peak,0.0,1.0,,23,Approved
2024-03-05,2024-04-22,Work,India,Sydney,Off-Peak,0.0,1.0,1.0,48,Approved
2024-04-22,2024-06-21,Work,India,Sydney,Peak,0.0,1.0,,60,Approved
2024-05-18,2024-06-12,Student,France,Mumbai,Off-Peak,0.0,1.0,1.0,25,Approved
2024-01-22,2024-03-14,Business,USA,London,Off-Peak,1.0,0.0,0.0,52,Approved
2024-04-16,2024-07-13,Work,Germany,Beijing,Off-Peak,1.0,0.0,1.0,88,Approved
2024-06-04,2024-08-17,Business,China,Delhi,Peak,1.0,0.0,0.0,74,Denied
2024-11-03,2024-12-26,Tourist,India,Delhi,Peak,,,1.0,53,Approved
2024-03-03,2024-04-02,Business,Brazil,Beijing,Off-Peak,0.0,1.0,0.0,30,Approved
2024-05-02,2024-06-22,Work,UK,Mumbai,Off-Peak,,1.0,1.0,51,Approved
2024-02-21,2024-04-04,Student,Australia,Delhi,Off-Peak,0.0,,1.0,43,Approved
2024-08-06,2024-10-03,Work,Australia,Paris,Off-Peak,,1.0,0.0,58,Approved
2024-12-03,2025-02-26,Work,Brazil,Mumbai,Off-Peak,0.0,0.0,,85,Approved
2024-05-03,2024-06-27,Tourist,Brazil,Beijing,Peak,1.0,,1.0,55,Denied
2024-12-02,2024-12-26,Tourist,UK,Sydney,Peak,0.0,1.0,0.0,24,Approved
2024-03-10,2024-04-19,Business,UK,Beijing,Peak,1.0,1.0,1.0,40,Approved
2024-07-14,2024-09-01,Tourist,UK,Delhi,Peak,1.0,0.0,1.0,49,Approved
2024-11-08,2025-01-20,Work,Australia,Mumbai,Peak,0.0,1.0,0.0,73,Approved
2024-04-29,2024-06-02,Tourist,France,Beijing,Peak,1.0,1.0,1.0,34,Approved
2024-05-24,2024-06-21,Business,India,Sydney,Off-Peak,1.0,1.0,1.0,28,Approved
2024-09-29,2024-10-13,Business,Australia,Paris,Peak,0.0,1.0,1.0,14,Approved
2024-02-19,2024-03-17,Tourist,Australia,Beijing,Peak,0.0,1.0,0.0,27,Denied
2024-10-12,2024-11-01,Tourist,USA,Beijing,Off-Peak,1.0,1.0,1.0,20,Approved
2024-10-04,2024-11-15,Student,France,Mumbai,Off-Peak,1.0,1.0,1.0,42,Approved
2024-04-05,2024-04-24,Student,UK,Berlin,Off-Peak,0.0,1.0,1.0,19,Approved
2024-10-21,2024-10-24,Tourist,Australia,London,Off-Peak,0.0,1.0,1.0,3,Approved
2024-03-07,2024-03-16,Tourist,Australia,Beijing,Off-Peak,0.0,1.0,1.0,9,Approved
2024-04-10,2024-05-16,Tourist,Brazil,Berlin,Peak,0.0,0.0,1.0,36,Approved
2024-11-19,2025-01-12,Work,France,Berlin,Off-Peak,0.0,1.0,0.0,54,Approved
2024-06-26,2024-08-31,Student,Australia,Delhi,Peak,0.0,0.0,0.0,66,Approved
2024-05-20,2024-06-18,Tourist,USA,London,Peak,0.0,0.0,1.0,29,Approved
2024-06-16,2024-07-24,Student,Germany,Berlin,Peak,0.0,1.0,0.0,38,Denied
2024-06-16,2024-07-25,Business,Germany,Paris,Peak,0.0,0.0,1.0,39,Approved
2024-04-01,2024-05-02,Tourist,China,Delhi,Off-Peak,,0.0,1.0,31,Approved
2024-05-08,2024-07-02,Business,Brazil,Beijing,Off-Peak,1.0,0.0,1.0,55,Approved
2024-06-07,2024-07-20,Tourist,France,Beijing,Off-Peak,1.0,0.0,1.0,43,Approved
2024-04-24,2024-07-07,Student,UK,Delhi,Peak,1.0,0.0,,74,Denied
2024-10-03,2024-12-26,Work,USA,London,Peak,0.0,0.0,0.0,84,Denied
2024-10-04,2024-12-29,Work,USA,Beijing,Off-Peak,,0.0,1.0,86,Approved
2024-08-13,2024-10-14,Work,Brazil,London,Off-Peak,,1.0,0.0,62,Denied
2024-09-05,2024-09-21,Tourist,Australia,London,Off-Peak,0.0,0.0,1.0,16,Denied
2024-05-22,2024-06-30,Tourist,UK,Beijing,Peak,,0.0,1.0,39,Approved
2024-11-27,2025-01-20,Work,UK,Mumbai,Off-Peak,0.0,1.0,1.0,54,Approved
2024-07-31,2024-09-22,Work,USA,Paris,Off-Peak,0.0,1.0,0.0,53,Approved
2024-05-07,2024-06-13,Tourist,India,Sydney,Off-Peak,0.0,0.0,,37,Approved
2024-11-25,2024-12-04,Tourist,USA,Paris,Off-Peak,0.0,1.0,0.0,9,Approved
2024-03-20,2024-04-17,Tourist,Brazil,London,Peak,0.0,1.0,0.0,28,Approved
2024-08-30,2024-11-02,Work,Germany,Beijing,Off-Peak,0.0,1.0,0.0,64,Approved
2024-11-21,2025-02-25,Work,USA,Beijing,Peak,0.0,0.0,0.0,96,Approved
2024-11-01,2024-12-13,Business,USA,Beijing,Peak,0.0,0.0,1.0,42,Denied
2024-02-25,2024-04-22,Work,USA,Paris,Off-Peak,,1.0,0.0,57,Approved
2024-02-24,2024-02-27,Tourist,Germany,Sydney,Off-Peak,0.0,1.0,,3,Approved
2024-05-05,2024-08-18,Work,Australia,Beijing,Peak,,0.0,0.0,105,Denied
2024-01-21,2024-04-08,Student,India,Berlin,Peak,1.0,0.0,0.0,78,Denied
2024-08-30,2024-10-21,Business,France,Sydney,Off-Peak,1.0,0.0,0.0,52,Approved
2024-08-16,2024-09-20,Business,Brazil,Berlin,Peak,0.0,1.0,0.0,35,Approved
2024-03-05,2024-05-29,Work,China,Berlin,Peak,1.0,1.0,0.0,85,Denied
2024-11-08,2024-12-13,Tourist,Australia,Beijing,Peak,0.0,0.0,1.0,35,Approved
2024-01-14,2024-02-06,Business,Brazil,Sydney,Off-Peak,0.0,1.0,0.0,23,Approved
2024-10-21,2025-01-16,Work,France,Paris,Peak,0.0,0.0,0.0,87,Approved
2024-12-27,2025-02-24,Business,USA,Delhi,Peak,1.0,0.0,1.0,59,Approved
2024-02-21,2024-03-20,Business,Germany,Paris,Off-Peak,0.0,0.0,1.0,28,Approved
2024-06-23,2024-09-01,Student,Brazil,Beijing,Peak,1.0,1.0,0.0,70,Approved
2024-05-06,2024-05-10,Tourist,India,Paris,Off-Peak,,1.0,1.0,4,Approved
2024-02-28,2024-06-10,Work,Brazil,Berlin,Peak,1.0,0.0,0.0,103,Denied
2024-11-24,2024-12-01,Business,USA,Berlin,Off-Peak,0.0,1.0,1.0,7,Approved
2024-02-02,2024-02-21,Tourist,India,Sydney,Off-Peak,,1.0,1.0,19,Approved
2024-03-05,2024-03-31,Student,Australia,Paris,Peak,0.0,1.0,1.0,26,Denied
2024-01-07,2024-03-20,Student,Germany,Beijing,Off-Peak,1.0,,0.0,73,Approved
2024-06-17,2024-07-28,Business,France,Beijing,Peak,0.0,,,41,Approved
2024-10-17,2024-12-28,Business,France,Delhi,Peak,1.0,0.0,0.0,72,Denied
2024-02-11,2024-05-01,Work,Germany,Mumbai,Peak,0.0,0.0,1.0,80,Approved
2024-07-20,2024-09-20,Work,Brazil,London,Peak,0.0,1.0,1.0,62,Approved
2024-08-06,2024-09-16,Tourist,Australia,Sydney,Peak,0.0,,,41,Denied
2024-07-20,2024-09-17,Tourist,France,Paris,Peak,1.0,0.0,0.0,59,Approved
2024-10-10,2024-10-24,Tourist,Germany,London,Off-Peak,0.0,1.0,0.0,14,Denied
2024-02-11,2024-04-13,Work,Germany,Paris,Off-Peak,0.0,0.0,1.0,62,Denied
2024-11-16,2025-02-21,Work,UK,Mumbai,Peak,1.0,0.0,1.0,97,Approved
2024-02-27,2024-04-16,Tourist,China,Mumbai,Peak,,1.0,0.0,49,Approved
2024-01-19,2024-02-21,Student,UK,Berlin,Off-Peak,,1.0,0.0,33,Approved
2024-01-06,2024-02-03,Student,France,Paris,Off-Peak,0.0,1.0,0.0,28,Denied
2024-10-04,2024-12-11,Student,Brazil,Beijing,Peak,1.0,1.0,0.0,68,Approved
2024-09-26,2024-11-02,Business,UK,Paris,Off-Peak,0.0,0.0,0.0,37,Approved
2024-07-27,2024-09-01,Business,China,Sydney,Peak,0.0,1.0,,36,Approved
2024-03-06,2024-05-05,Student,Germany,Beijing,Off-Peak,0.0,0.0,0.0,60,Approved
2024-01-25,2024-02-18,Business,Australia,Delhi,Peak,0.0,,1.0,24,Approved
2024-11-10,2025-01-04,Business,UK,London,Peak,1.0,0.0,1.0,55,Denied
2024-04-19,2024-06-15,Business,Brazil,Berlin,Off-Peak,1.0,0.0,0.0,57,Approved
2024-12-13,2025-03-01,Work,USA,Sydney,Off-Peak,1.0,,,78,Denied
2024-08-30,2024-10-31,Student,Brazil,Sydney,Off-Peak,1.0,0.0,1.0,62,Denied
2024-01-03,2024-02-16,Student,USA,Paris,Off-Peak,1.0,1.0,0.0,44,Approved
2024-12-10,2025-01-04,Tourist,UK,Berlin,Peak,1.0,,1.0,25,Approved
2024-05-24,2024-06-02,Business,USA,Sydney,Off-Peak,0.0,,,9,Approved
2024-05-09,2024-05-12,Tourist,France,Berlin,Off-Peak,0.0,1.0,1.0,3,Approved
